energy_code,climate_zone,surface_type,assembly_type,construction_name,ip name,si name,r value ip,r value si,is_duplicate,ip match,si match
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ1 U-0.84 SHGC-0.2 VT-0.22 |Mtl Framed CW CZ1 U-5.0 SHGC-0.2 VT-0.22,Mtl Framed CW CZ1 U-0.84 SHGC-0.2 VT-0.22 ,Mtl Framed CW CZ1 U-5.0 SHGC-0.2 VT-0.22,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ1 U-0.72 SHGC-0.18 VT-0.2 |Mtl Framed CW CZ1 U-5.0 SHGC-0.18 VT-0.2,Mtl Framed CW CZ1 U-0.72 SHGC-0.18 VT-0.2 ,Mtl Framed CW CZ1 U-5.0 SHGC-0.18 VT-0.2,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ1 U-0.6 SHGC-0.15 VT-0.17 |Mtl Framed CW CZ1 U-3.33 SHGC-0.15 VT-0.17,Mtl Framed CW CZ1 U-0.6 SHGC-0.15 VT-0.17 ,Mtl Framed CW CZ1 U-3.33 SHGC-0.15 VT-0.17,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Typical Non Mtl Framed CZ1 U-1.2 SHGC-0.25 VT-0.28 |Typical Non Mtl Framed CZ1 U-10.0 SHGC-0.25 VT-0.28,Typical Non Mtl Framed CZ1 U-1.2 SHGC-0.25 VT-0.28 ,Typical Non Mtl Framed CZ1 U-10.0 SHGC-0.25 VT-0.28,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ1 U-0.96 SHGC-0.23 VT-0.25 |Non Mtl Framed CZ1 U-5.0 SHGC-0.23 VT-0.25,Non Mtl Framed CZ1 U-0.96 SHGC-0.23 VT-0.25 ,Non Mtl Framed CZ1 U-5.0 SHGC-0.23 VT-0.25,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ1 U-0.84 SHGC-0.2 VT-0.22 |Non Mtl Framed CZ1 U-5.0 SHGC-0.2 VT-0.22,Non Mtl Framed CZ1 U-0.84 SHGC-0.2 VT-0.22 ,Non Mtl Framed CZ1 U-5.0 SHGC-0.2 VT-0.22,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ1 U-0.72 SHGC-0.18 VT-0.2 |Non Mtl Framed CZ1 U-5.0 SHGC-0.18 VT-0.2,Non Mtl Framed CZ1 U-0.72 SHGC-0.18 VT-0.2 ,Non Mtl Framed CZ1 U-5.0 SHGC-0.18 VT-0.2,NaN,NaN,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ1 U-0.6 SHGC-0.15 VT-0.17 |Non Mtl Framed CZ1 U-3.33 SHGC-0.15 VT-0.17,Non Mtl Framed CZ1 U-0.6 SHGC-0.15 VT-0.17 ,Non Mtl Framed CZ1 U-3.33 SHGC-0.15 VT-0.17,NaN,NaN,false
ASHRAE_90_1_2007,1,Interior_Walls,"",Typical Interior Wall,false
ASHRAE_90_1_2007,1,Floors,"",Typical Interior Wall,true
